osmid,y,x,geometry
25280480,48.2105629,16.3326368,POINT (16.3326368 48.2105629)
24966952,48.2105988,16.3295022,POINT (16.3295022 48.2105988)
33079249,48.2113539,16.3297283,POINT (16.3297283 48.2113539)
264054982,48.2129577,16.3299546,POINT (16.3299546 48.2129577)
33144925,48.2150695,16.3300421,POINT (16.3300421 48.2150695)
33144904,48.216498,16.3300259,POINT (16.3300259 48.216498)
33144355,48.211844,16.3407063,POINT (16.3407063 48.211844)
33079209,48.2123168,16.3373645,POINT (16.3373645 48.2123168)
33079201,48.2124022,16.3350145,POINT (16.3350145 48.2124022)
33079244,48.2103071,16.3324407,POINT (16.3324407 48.2103071)
218245323,48.2149613,16.3493913,POINT (16.3493913 48.2149613)
33182040,48.2140848,16.3494553,POINT (16.3494553 48.2140848)
33182039,48.2132756,16.3495107,POINT (16.3495107 48.2132756)
33182038,48.2126248,16.349552,POINT (16.349552 48.2126248)
33182037,48.2118449,16.3495934,POINT (16.3495934 48.2118449)
33174090,48.2119465,16.3486508,POINT (16.3486508 48.2119465)
3704365810,48.2120314,16.3479476,POINT (16.3479476 48.2120314)
3704365811,48.2121523,16.3469506,POINT (16.3469506 48.2121523)
3704365814,48.2124258,16.3455451,POINT (16.3455451 48.2124258)
1114680102,48.2122944,16.3453111,POINT (16.3453111 48.2122944)
33182075,48.2120356,16.3451626,POINT (16.3451626 48.2120356)
3710788341,48.2108979,16.3442741,POINT (16.3442741 48.2108979)
314318424,48.2106039,16.3440363,POINT (16.3440363 48.2106039)
25267608,48.2089923,16.3438492,POINT (16.3438492 48.2089923)
25267624,48.2097299,16.3481702,POINT (16.3481702 48.2097299)
33183653,48.2107961,16.3480692,POINT (16.3480692 48.2107961)
25276591,48.2105673,16.3317489,POINT (16.3317489 48.2105673)
33079202,48.2130275,16.3348448,POINT (16.3348448 48.2130275)
33079203,48.2137638,16.3346699,POINT (16.3346699 48.2137638)
264055534,48.2163472,16.3345693,POINT (16.3345693 48.2163472)
264055537,48.2191453,16.3358173,POINT (16.3358173 48.2191453)
264055538,48.2197941,16.336055,POINT (16.336055 48.2197941)
264055539,48.2203592,16.336262,POINT (16.336262 48.2203592)
33143825,48.2222744,16.337882,POINT (16.337882 48.2222744)
25280482,48.2231372,16.3386125,POINT (16.3386125 48.2231372)
33345337,48.224293,16.350612,POINT (16.350612 48.224293)
3963787755,48.2241004,16.3504229,POINT (16.3504229 48.2241004)
256759894,48.2187357,16.3282273,POINT (16.3282273 48.2187357)
33144804,48.2201389,16.3289414,POINT (16.3289414 48.2201389)
33174086,48.220796,16.3293648,POINT (16.3293648 48.220796)
33144611,48.2214303,16.3297548,POINT (16.3297548 48.2214303)
33174087,48.2220206,16.3301412,POINT (16.3301412 48.2220206)
64970627,48.2251083,16.3321398,POINT (16.3321398 48.2251083)
29048470,48.2258864,16.3326189,POINT (16.3326189 48.2258864)
33345319,48.2267511,16.3331633,POINT (16.3331633 48.2267511)
33345320,48.2275223,16.333629,POINT (16.333629 48.2275223)
33344335,48.2238529,16.3532615,POINT (16.3532615 48.2238529)
28982561,48.2240317,16.3522319,POINT (16.3522319 48.2240317)
33344338,48.2236873,16.3520656,POINT (16.3520656 48.2236873)
251207322,48.2231935,16.3518322,POINT (16.3518322 48.2231935)
33344339,48.2224688,16.3514639,POINT (16.3514639 48.2224688)
33345323,48.2218487,16.351151,POINT (16.351151 48.2218487)
33345324,48.2213375,16.3509032,POINT (16.3509032 48.2213375)
33143898,48.2187018,16.3409226,POINT (16.3409226 48.2187018)
29048466,48.2211786,16.3420779,POINT (16.3420779 48.2211786)
283324405,48.2221284,16.3426438,POINT (16.3426438 48.2221284)
33144503,48.2239979,16.3432442,POINT (16.3432442 48.2239979)
64970487,48.2253378,16.3311374,POINT (16.3311374 48.2253378)
33144475,48.2217434,16.3393645,POINT (16.3393645 48.2217434)
33144471,48.2216922,16.3395494,POINT (16.3395494 48.2216922)
64969715,48.2261538,16.3316802,POINT (16.3316802 48.2261538)
283324407,48.222715,16.3400219,POINT (16.3400219 48.222715)
358517297,48.2219968,16.3435101,POINT (16.3435101 48.2219968)
33182043,48.2145794,16.3480086,POINT (16.3480086 48.2145794)
60658958,48.2140461,16.3482146,POINT (16.3482146 48.2140461)
33182042,48.2132221,16.3484849,POINT (16.3484849 48.2132221)
33182041,48.2125955,16.3485856,POINT (16.3485856 48.2125955)
33183652,48.2107928,16.3487548,POINT (16.3487548 48.2107928)
31673331,48.2099731,16.3469174,POINT (16.3469174 48.2099731)
2250807664,48.2104394,16.3447872,POINT (16.3447872 48.2104394)
2487786197,48.2108117,16.3422031,POINT (16.3422031 48.2108117)
2487955438,48.2110004,16.3404555,POINT (16.3404555 48.2110004)
33182076,48.211573,16.3470321,POINT (16.3470321 48.211573)
33079208,48.2132248,16.3375383,POINT (16.3375383 48.2132248)
33144156,48.2131399,16.341172,POINT (16.341172 48.2131399)
33144171,48.2131249,16.3424876,POINT (16.3424876 48.2131249)
123849573,48.2131215,16.3459839,POINT (16.3459839 48.2131215)
33182047,48.2131666,16.347284,POINT (16.347284 48.2131666)
264056213,48.2138943,16.3357535,POINT (16.3357535 48.2138943)
33144909,48.2165059,16.3281493,POINT (16.3281493 48.2165059)
33144932,48.2152008,16.3282155,POINT (16.3282155 48.2152008)
33174084,48.2143278,16.3282518,POINT (16.3282518 48.2143278)
2383639020,48.2121834,16.3262994,POINT (16.3262994 48.2121834)
7490239743,48.2122484,16.3262207,POINT (16.3262207 48.2122484)
33079251,48.2103743,16.3303835,POINT (16.3303835 48.2103743)
33344807,48.2238131,16.3454933,POINT (16.3454933 48.2238131)
33144550,48.2239237,16.344174,POINT (16.344174 48.2239237)
33144555,48.2244141,16.3399554,POINT (16.3399554 48.2244141)
33144616,48.221698,16.328936,POINT (16.328936 48.221698)
33144605,48.2211138,16.3306752,POINT (16.3306752 48.2211138)
33144588,48.2193773,16.3380305,POINT (16.3380305 48.2193773)
33144416,48.2182127,16.3437258,POINT (16.3437258 48.2182127)
33182073,48.2179161,16.3454392,POINT (16.3454392 48.2179161)
33144292,48.2121122,16.3407986,POINT (16.3407986 48.2121122)
33144300,48.2120506,16.342347,POINT (16.342347 48.2120506)
33144360,48.2092607,16.3419273,POINT (16.3419273 48.2092607)
1114010120,48.2119157,16.344126,POINT (16.344126 48.2119157)
264061926,48.2187331,16.3378102,POINT (16.3378102 48.2187331)
33144626,48.2199151,16.3384073,POINT (16.3384073 48.2199151)
33144652,48.2217242,16.3310124,POINT (16.3310124 48.2217242)
33144712,48.2204686,16.330311,POINT (16.330311 48.2204686)
33144782,48.2198477,16.3298513,POINT (16.3298513 48.2198477)
33144808,48.220418,16.3281299,POINT (16.3281299 48.220418)
33144719,48.2210692,16.3285369,POINT (16.3285369 48.2210692)
33144655,48.2223117,16.3292942,POINT (16.3292942 48.2223117)
33144892,48.2162643,16.3355835,POINT (16.3355835 48.2162643)
123854325,48.2124668,16.3452813,POINT (16.3452813 48.2124668)
33182046,48.2141514,16.3471939,POINT (16.3471939 48.2141514)
33182056,48.2172592,16.3499515,POINT (16.3499515 48.2172592)
75605503,48.2174845,16.3499805,POINT (16.3499805 48.2174845)
249607807,48.2157113,16.3447897,POINT (16.3447897 48.2157113)
33344334,48.2234275,16.3533124,POINT (16.3533124 48.2234275)
33345333,48.222884,16.3497525,POINT (16.3497525 48.222884)
33345334,48.2227201,16.3503889,POINT (16.3503889 48.2227201)
33345311,48.2272569,16.3347937,POINT (16.3347937 48.2272569)
33345310,48.227783,16.3349334,POINT (16.3349334 48.227783)
33345335,48.2221285,16.3498826,POINT (16.3498826 48.2221285)
251207323,48.2236336,16.3511414,POINT (16.3511414 48.2236336)
33345330,48.2240503,16.3505,POINT (16.3505 48.2240503)
264055200,48.2129091,16.3307066,POINT (16.3307066 48.2129091)
