u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
2455074401,685158,0,442914474,True,1,,Alser Straße,secondary,50,141.46800000000002,"LINESTRING (16.3437811 48.2152024, 16.3438767 48.2152068, 16.3442351 48.2152235, 16.3452835 48.2152592, 16.3455803 48.215278, 16.345685 48.2152903)",86.0,height 1,17,"{(685158, 33182049, 0): 94.366, (685158, 2457060680, 0): 172.81799999999998, (68164549, 685158, 0): 106.63899999999998, (213287628, 2455074401, 0): 92.245, (2455074396, 2455074401, 0): 179.366, (2455074427, 2455074401, 0): 102.511}"
2455074405,2455074396,0,237626838,True,1,,Alser Straße,secondary,50,63.263,"LINESTRING (16.3419124 48.2151473, 16.3427655 48.2151708)",87.6,height 1,17,"{(33144089, 2455074405, 0): 112.63600000000001, (2455074396, 33144127, 0): 98.824, (2455074396, 2455074401, 0): 179.95000000000002, (2455074398, 2455074405, 0): 179.914, (2455074424, 2455074396, 0): 97.654}"
2455074406,372619794,0,237626849,True,,,Hernalser Gürtel,secondary,50,63.018,"LINESTRING (16.3413557 48.2152227, 16.3411306 48.2152157, 16.3408404 48.215207, 16.3407909 48.2152063, 16.3407177 48.2152053, 16.3405086 48.2151822)",265.9,height 1,24,"{(33144880, 372619794, 0): 110.734, (372619794, 292352740, 0): 178.886, (372619794, 2605251628, 0): 121.47200000000001, (2455074398, 2455074406, 0): 116.68100000000001, (2455074406, 685164, 0): 119.846, (2455074424, 2455074406, 0): 179.37}"
2455074406,685164,0,813507908,True,4,B221,Hernalser Gürtel,primary,50,132.084,"LINESTRING (16.3413557 48.2152227, 16.3413774 48.2152634, 16.3419042 48.2162563, 16.3419201 48.2162863, 16.34195 48.2163426)",19.5,height 2,5,"{(685163, 685164, 0): 74.39699999999999, (685164, 33143752, 0): 105.288, (685164, 2335589819, 0): 179.735, (2455074398, 2455074406, 0): 179.603, (2455074406, 372619794, 0): 119.846, (2455074424, 2455074406, 0): 116.91399999999999}"
2455074424,33143752,0,15793004,True,1,,Zimmermanngasse,residential,30,100.14699999999999,"LINESTRING (16.3427727 48.2152538, 16.3427732 48.2152841, 16.3427862 48.2161137, 16.3427868 48.2161544)",0.6,height 2,62,"{(685164, 33143752, 0): 101.82900000000001, (33143752, 685161, 0): 78.68299999999999, (2335589812, 33143752, 0): 156.218, (2455074424, 2455074406, 0): 92.281, (2455074424, 2455074396, 0): 178.73200000000003, (2455074427, 2455074424, 0): 89.713}"
2455074424,2455074406,0,237626842,True,1,,Alser Straße,secondary,50,105.04700000000001,"LINESTRING (16.3427727 48.2152538, 16.3419324 48.2152342, 16.3415203 48.215226, 16.3414652 48.2152249, 16.3413557 48.2152227)",268.1,height 1,24,"{(2455074398, 2455074406, 0): 119.61300000000001, (2455074406, 372619794, 0): 179.37, (2455074406, 685164, 0): 116.91399999999999, (2455074424, 33143752, 0): 92.281, (2455074424, 2455074396, 0): 90.877, (2455074427, 2455074424, 0): 179.896}"
2455074424,2455074396,0,237626847,True,,,Alser Straße,residential,50,9.247,"LINESTRING (16.3427727 48.2152538, 16.3427719 48.2152331, 16.3427693 48.2152065, 16.3427655 48.2151708)",183.3,height 2,62,"{(2455074396, 33144127, 0): 175.674, (2455074396, 2455074401, 0): 94.448, (2455074405, 2455074396, 0): 97.654, (2455074424, 33143752, 0): 178.73200000000003, (2455074424, 2455074406, 0): 90.877, (2455074427, 2455074424, 0): 93.445}"
2455074427,2455074424,0,237626842,True,1,,Alser Straße,secondary,50,73.165,"LINESTRING (16.343759 48.2152805, 16.3436745 48.2152732, 16.3427727 48.2152538)",267.7,height 1,24,"{(685161, 2455074427, 0): 71.292, (2455074424, 33143752, 0): 89.713, (2455074424, 2455074406, 0): 179.896, (2455074424, 2455074396, 0): 93.445, (2455074427, 2455074401, 0): 102.246}"
2455074427,2455074401,0,237626855,True,,,Alser Straße,secondary,50,8.838000000000001,"LINESTRING (16.343759 48.2152805, 16.3437667 48.2152556, 16.3437811 48.2152024)",169.3,height 2,19,"{(685161, 2455074427, 0): 173.53799999999998, (213287628, 2455074401, 0): 165.24399999999997, (2455074396, 2455074401, 0): 76.855, (2455074401, 685158, 0): 102.511, (2455074427, 2455074424, 0): 102.246}"
2457060660,2457966745,0,"[237844090, 237844086]",True,"['2', '1']",,Alser Straße,secondary,50,110.277,"LINESTRING (16.3495221 48.2150586, 16.3498758 48.2150081, 16.3502668 48.214976, 16.3507796 48.2149407, 16.3507926 48.2149395, 16.3508558 48.2149345, 16.3509731 48.2149264, 16.3509955 48.2149257)",97.7,height 1,17,"{(218245323, 2457060660, 0): 154.435, (2457060680, 2457060660, 0): 179.885, (2457966745, 2457966717, 0): 116.89, (2509699390, 2457966745, 0): 112.133}"
