u,v,key,geometry,stroke_group,edge_interior_angle,int_bearing_diff
2457060660,2457060680,0,"LINESTRING (16.3495221 48.2150586, 16.3491375 48.2151143, 16.349098 48.2151188, 16.3485937 48.2151636, 16.3481994 48.2151913, 16.347909 48.2152117)",1,"{(2457966745, 2457060660, 0): 179.885, (2457060660, 218245323, 0): 25.68, (2457060680, 33182052, 0): 18.0, (2457060680, 10, 0): 179.387}",6
685158,2455074401,0,"LINESTRING (16.345685 48.2152903, 16.3455803 48.215278, 16.3452835 48.2152592, 16.3442351 48.2152235, 16.3438767 48.2152068, 16.3437811 48.2152024)",1,"{(2455074401, 2455074396, 0): 179.366, (68164549, 685158, 0): 106.63899999999998, (685158, 33182049, 0): 94.366, (685161, 2455074401, 0): 102.511, (2455074401, 33144149, 0): 92.245, (10, 685158, 0): 172.81799999999998}",6
2455074401,2455074396,0,"LINESTRING (16.3437811 48.2152024, 16.3436809 48.2151989, 16.3436258 48.215197, 16.3433285 48.2151868, 16.3427655 48.2151708)",1,"{(685158, 2455074401, 0): 179.366, (2455074396, 2455074405, 0): 179.95000000000002, (2455074396, 33144127, 0): 102.02999999999999, (685161, 2455074401, 0): 76.855, (2455074401, 33144149, 0): 88.389, (33143752, 2455074396, 0): 94.448}",1
2455074396,2455074405,0,"LINESTRING (16.3427655 48.2151708, 16.3419124 48.2151473)",1,"{(2455074401, 2455074396, 0): 179.95000000000002, (2455074405, 2455074398, 0): 179.914, (2455074396, 33144127, 0): 98.824, (2455074405, 33144089, 0): 112.63600000000001, (33143752, 2455074396, 0): 97.654}",0
2455074405,2455074398,0,"LINESTRING (16.3419124 48.2151473, 16.341421 48.2151345, 16.3413063 48.2151315)",1,"{(2455074396, 2455074405, 0): 179.914, (2455074398, 2605251628, 0): 179.351, (33143763, 2455074398, 0): 120.35999999999999, (2455074405, 33144089, 0): 109.566, (2455074398, 685164, 0): 116.878}",0
2455074398,2605251628,0,"LINESTRING (16.3413063 48.2151315, 16.3411596 48.215126, 16.3410813 48.2151231, 16.3407897 48.2151168, 16.3406698 48.2151141, 16.3404639 48.2150877)",1,"{(2605251628, 33079217, 0): 126.519, (2455074405, 2455074398, 0): 179.351, (2605251628, 2605251576, 0): 177.60999999999999, (33143763, 2455074398, 0): 116.715, (33144880, 2605251628, 0): 108.028, (2455074398, 685164, 0): 120.523}",8
2605251628,2605251576,0,"LINESTRING (16.3404639 48.2150877, 16.3403395 48.215077, 16.3402795 48.2150709, 16.3398262 48.2150763, 16.3396847 48.2150902, 16.3391054 48.2150902, 16.3388472 48.2150817, 16.338588 48.2150512)",1,"{(2605251628, 33079217, 0): 114.297, (2455074398, 2605251628, 0): 177.60999999999999, (33079198, 2605251576, 0): 100.22300000000001, (33144880, 2605251628, 0): 120.25, (2605251576, 33079197, 0): 177.45600000000002, (2605251576, 33144883, 0): 86.953}",3
33079197,264056412,0,"LINESTRING (16.337134 48.2149004, 16.3361381 48.2147698, 16.3358084 48.2147278)",1,"{(264056412, 264056411, 0): 179.228, (33144888, 33079197, 0): 103.229, (264056412, 33144892, 0): 90.976, (2605251576, 33079197, 0): 179.649}",0
264056412,264056411,0,"LINESTRING (16.3358084 48.2147278, 16.3356809 48.2147133, 16.3355502 48.2146985)",1,"{(33079197, 264056412, 0): 179.228, (264056411, 264056161, 0): 179.362, (264056412, 33144892, 0): 88.252, (264056411, 264056213, 0): 80.71799999999999}",0
264056411,264056161,0,"LINESTRING (16.3355502 48.2146985, 16.3352394 48.2146598, 16.3352025 48.2146552, 16.334536 48.2145704, 16.3344467 48.214559)",1,"{(264056412, 264056411, 0): 179.362, (264056161, 264056409, 0): 179.962, (33079203, 264056161, 0): 81.427, (264056161, 264055534, 0): 97.445, (264056411, 264056213, 0): 98.644}",0
264056161,264056409,0,"LINESTRING (16.3344467 48.214559, 16.3338214 48.2144796, 16.3332021 48.214409)",1,"{(264056411, 264056161, 0): 179.962, (264056409, 264060498, 0): 179.977, (264056211, 264056409, 0): 66.934, (264056409, 264055449, 0): 109.88, (33079203, 264056161, 0): 98.611, (264056161, 264055534, 0): 82.517}",1
264056409,264060498,0,"LINESTRING (16.3332021 48.214409, 16.3321052 48.2142844, 16.3320003 48.2142725, 16.331711 48.2142337, 16.3316128 48.2142205)",1,"{(264056161, 264056409, 0): 179.977, (264060498, 264056406, 0): 178.668, (264056211, 264056409, 0): 113.089, (264056409, 264055449, 0): 70.097, (264056023, 264060498, 0): 93.904, (264060498, 33079232, 0): 108.572}",2
